stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
TXN,2019-06-30,1296000000,1305000000,31000000,1308000000,2185000000,3668000000,209000000,44000000,1483000000,1483000000,2360000000,435000000,1305000000,1514000000,390000000,,,
UPS,2019-12-31,4440000000,4440000000,116000000,60457000000,68558000000,74094000000,1212000000,653000000,5536000000,5536000000,13637000000,,4440000000,5652000000,,5744000000,16000000,
UPS,2018-12-31,4791000000,4791000000,463000000,58731000000,66305000000,71861000000,1228000000,605000000,5556000000,5556000000,13130000000,,4791000000,6019000000,,5379000000,16000000,
UPS,2017-12-31,4905000000,4905000000,608000000,52719000000,60056000000,66585000000,2232000000,453000000,6529000000,6529000000,13866000000,,4905000000,7137000000,,5055000000,30000000,
UPS,2016-12-31,3422000000,3422000000,229000000,49902000000,56745000000,61610000000,1699000000,381000000,4865000000,4865000000,11708000000,,3422000000,5121000000,,4619000000,24000000,
UPS,2020-03-31,965000000,965000000,194000000,14383000000,16591000000,18035000000,285000000,167000000,1444000000,1444000000,3652000000,,965000000,1250000000,,14000000,1560000000,
UPS,2019-12-31,106000000,106000000,712000000,19142000000,21478000000,20568000000,92000000,166000000,910000000,910000000,1426000000,,106000000,198000000,,16000000,1709000000,
UPS,2019-09-30,1750000000,1750000000,176000000,13997000000,15936000000,18318000000,456000000,159000000,2382000000,2382000000,4321000000,,1750000000,2206000000,,16000000,1352000000,
UPS,2019-06-30,1685000000,1685000000,152000000,13757000000,15692000000,18048000000,519000000,159000000,2356000000,2356000000,4291000000,,1685000000,2204000000,,18000000,1360000000,
UNP,2019-12-31,5919000000,5919000000,868000000,9817000000,13093000000,21708000000,1828000000,1050000000,8615000000,8615000000,11891000000,,5919000000,7747000000,,1060000000,,
UNP,2018-12-31,5966000000,5966000000,814000000,11064000000,14277000000,22832000000,1775000000,870000000,8555000000,8555000000,11768000000,,5966000000,7741000000,,1022000000,,
