stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
AMGN,2019-09-30,1005000000,3243000000,27742000000,4706000000,10480000000,766000000,31051000000,5323000000,388000000,,10737000000,11415000000,988000000,388000000,14705000000,9778000000,20136000000,2249000000,31451000000,59535000000,,,10927000000,48608000000,,6702000000,9438000000,2049000000,
AMGN,2019-06-30,1001000000,3176000000,27798000000,3801000000,10708000000,768000000,30746000000,5312000000,465000000,,10622000000,5525000000,1045000000,465000000,14689000000,9796000000,20054000000,2011000000,31313000000,59373000000,,,10794000000,48579000000,,6813000000,16233000000,2816000000,
AMT,2019-12-31,148100000,,21103200000,675800000,13441300000,,2553800000,19441800000,3840400000,131800000,5487700000,1501200000,2309300000,5066800000,6178300000,3089400000,,376800000,4500000,42801600000,984400000,,5055400000,36214700000,10117700000,12318400000,,2921500000,1531500000
AMT,2018-12-31,130800000,,18266300000,671400000,11340100000,,2385100000,11247100000,3842400000,157700000,4689900000,1208700000,2702000000,5049200000,5501900000,3011000000,,505000000,4500000,33010400000,945600000,,5336100000,26106000000,10380800000,11174300000,,2714100000,1568300000
AMT,2017-12-31,142900000,,19264800000,685700000,11180200000,,2037100000,11101000000,3036400000,204400000,2512100000,802100000,2653500000,4010400000,5638400000,3317600000,,549300000,4400000,33214300000,740900000,,6241500000,25260000000,10247500000,11783300000,,774800000,1712800000
AMT,2016-12-31,118700000,,18294700000,397700000,9581500000,,1685900000,10517300000,3076300000,195700000,1631300000,787200000,2326700000,3284000000,5070700000,2885700000,,501000000,4300000,30879200000,637000000,,6763800000,22811700000,10043500000,11274600000,,238800000,1303600000
AMT,2020-03-31,120600000,,21911800000,785000000,13915000000,,2504900000,18419600000,5354200000,126400000,5154400000,1326000000,2315200000,6625700000,5948800000,2953500000,,393900000,4500000,40789100000,1121900000,,3634400000,36183100000,10255600000,11600600000,,2640000000,971600000
AMT,2019-12-31,148100000,,21103200000,675800000,13441300000,,2553800000,19441800000,3840400000,131800000,5487700000,1501200000,2309300000,5066800000,6178300000,3089400000,,376800000,4500000,42801600000,984400000,,5055400000,36214700000,10117700000,12318400000,,2921500000,1531500000
AMT,2019-09-30,136200000,,19016900000,630700000,11136800000,,2362000000,18497900000,4109100000,143500000,4787400000,1352600000,2070100000,5315900000,5481400000,2661900000,,378700000,4500000,39307200000,934700000,,5240400000,32937300000,10551800000,10895800000,,2436500000,1129500000
AMT,2019-06-30,144900000,,18593600000,656900000,10975500000,,2232400000,18378600000,3812900000,147800000,4821600000,1192200000,2008700000,5019700000,5557800000,2666500000,,383300000,4500000,39072700000,952500000,,5477500000,32439400000,10492700000,10895200000,,2436800000,1155800000
AMZN,2019-12-31,47183000000,20497000000,23414000000,20540000000,43257000000,2169000000,96334000000,97846000000,986000000,,87812000000,36092000000,10096000000,2823000000,14754000000,12171000000,31220000000,,5000000,225248000000,12202000000,,62060000000,163188000000,33658000000,4049000000,18929000000,1307000000,
AMZN,2018-12-31,38192000000,17174000000,23495000000,16259000000,24891000000,722000000,75101000000,61797000000,1035000000,,68391000000,31750000000,6370000000,2872000000,14548000000,17563000000,19625000000,,5000000,162648000000,9959000000,,43549000000,119099000000,26791000000,4110000000,9500000000,1371000000,
AMZN,2017-12-31,34616000000,16047000000,24743000000,11835000000,10988000000,441000000,60197000000,48866000000,484000000,,57883000000,20522000000,5085000000,2321000000,13350000000,7792000000,8636000000,,5000000,131310000000,8565000000,,27709000000,103601000000,21389000000,3371000000,10464000000,100000000,
AMZN,2016-12-31,25309000000,11461000000,7694000000,8339000000,14647000000,223000000,45781000000,29114000000,985000000,,43816000000,19334000000,3646000000,2822000000,3784000000,5088000000,4916000000,,5000000,83402000000,7168000000,,19285000000,64117000000,17186000000,854000000,6647000000,1056000000,
AMZN,2020-03-31,40056000000,18857000000,23437000000,17836000000,50533000000,2028000000,85985000000,104058000000,2063000000,,79711000000,27201000000,16456000000,3900000000,14739000000,12518000000,33755000000,282000000,5000000,221238000000,8864000000,,65272000000,155966000000,35412000000,,22091000000,1311000000,
AMZN,2019-12-31,47183000000,20497000000,23414000000,20540000000,43257000000,2169000000,96334000000,97846000000,986000000,,87812000000,36092000000,10096000000,2823000000,14754000000,12171000000,31220000000,276000000,5000000,225248000000,12202000000,,62060000000,163188000000,33658000000,,18929000000,1307000000,
AMZN,2019-09-30,35794000000,18766000000,22472000000,16630000000,41774000000,1420000000,79054000000,90776000000,1429000000,,72136000000,23255000000,13115000000,3266000000,14734000000,10925000000,27952000000,257000000,5000000,199099000000,7381000000,,56508000000,142591000000,31817000000,,20146000000,2841000000,
AMZN,2019-06-30,36063000000,18580000000,23329000000,16429000000,38334000000,1501000000,76790000000,86372000000,960000000,,69678000000,22616000000,11961000000,2797000000,14727000000,10149000000,25818000000,318000000,5000000,191351000000,7475000000,,53061000000,138290000000,30035000000,,18847000000,1636000000,
AVGO,2019-11-03,855000000,874000000,30011000000,3259000000,29327000000,,9917000000,2565000000,140000000,50000000,6899000000,5055000000,743000000,140000000,36714000000,5613000000,,427000000,,67493000000,2307000000,,24941000000,42523000000,,17554000000,,,
AVGO,2018-11-04,811000000,1124000000,17493000000,3325000000,11018000000,,9107000000,2635000000,115000000,284000000,2338000000,4292000000,707000000,115000000,26913000000,3636000000,,123000000,,50124000000,486000000,,26657000000,23467000000,,10762000000,,,
AVGO,2017-10-29,1105000000,1447000000,17431000000,2603000000,15253000000,,15823000000,2599000000,91000000,21000000,2529000000,11204000000,458000000,91000000,24706000000,11272000000,,129000000,,54418000000,421000000,,20285000000,31232000000,,10832000000,,,
AVGO,2016-10-30,1261000000,1400000000,13188000000,2181000000,20908000000,,7125000000,2509000000,134000000,308000000,3078000000,3097000000,532000000,134000000,24732000000,11824000000,,447000000,,49966000000,515000000,,18892000000,28090000000,,15068000000,,,
AVGO,2020-05-03,1230000000,953000000,45044000000,3211000000,39424000000,,14222000000,2618000000,131000000,,6601000000,9207000000,1342000000,131000000,43457000000,5933000000,,851000000,,81548000000,4058000000,,23942000000,57578000000,,19909000000,,819000000,
AVGO,2020-02-02,985000000,944000000,42363000000,3651000000,40569000000,,12109000000,3236000000,132000000,,7739000000,6444000000,724000000,132000000,43472000000,5896000000,,650000000,,81006000000,3913000000,,24368000000,56610000000,,21465000000,,2300000000,
AVGO,2019-11-03,855000000,874000000,30011000000,3259000000,29327000000,,9917000000,2565000000,140000000,,6899000000,5055000000,743000000,140000000,36714000000,5613000000,,427000000,,67493000000,2307000000,,24941000000,42523000000,,17554000000,,2787000000,
